week,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,transmission_rate,case_fatality_rate,Country,people_fully_vaccinated
42,2523.285714285714,1737687.0,25.285714285714285,29219.0,0.0014520230017271082,0.016814927255257635,Canada,0.17832575510824253
43,2440.714285714286,1754856.142857143,24.571428571428573,29403.571428571428,0.0013906261302376532,0.01675558386797366,Canada,0.17944013494403166
44,2819.5714285714284,1772925.4285714286,19.571428571428573,29553.428571428572,0.0015895900333364778,0.01666938100845697,Canada,0.18027253673105548
45,2884.0,1793214.7142857143,19.857142857142858,29693.0,0.0016078336596895995,0.016558623188531147,Canada,0.18098251917420508
46,3618.8571428571427,1816033.7142857143,20.428571428571427,29828.0,0.0019918253452568192,0.016424955636334886,Canada,0.18158832857040336
47,5602.285714285715,1847330.857142857,18.857142857142858,29969.714285714286,0.003027832567577036,0.016223719692539187,Canada,0.1821341814060585
48,13545.142857142857,1913690.2857142857,15.857142857142858,30089.714285714286,0.007049407487154384,0.015726730756856912,Canada,0.18263212993864722
49,31685.714285714286,2073603.4285714286,25.142857142857142,30222.571428571428,0.015170790248917331,0.014590267218297592,Canada,0.1829618754743466
50,42659.857142857145,2352103.4285714286,49.714285714285715,30476.85714285714,0.018143068418881025,0.012972952989319414,Canada,0.18363459417817724
51,34038.42857142857,2620241.0,93.71428571428571,30992.14285714286,0.013002480955899478,0.011834477893969927,Canada,0.18452662292324354
52,24515.714285714286,2822430.285714286,151.0,31874.85714285714,0.00870024699920197,0.011294662527566588,Canada,0.185492607006758
53,17714.714285714286,2961597.4285714286,163.14285714285714,32991.57142857143,0.005978947872129555,0.01114000641470254,Canada,0.18718251634109115
54,13473.285714285714,3067743.5714285714,145.14285714285714,34058.0,0.004388591414019397,0.011101989171260944,Canada,0.18873353864434772
55,10071.714285714286,3150627.5714285714,119.0,34984.71428571428,0.0031967957082629406,0.011103982841573923,Canada,0.19028398880741446
56,6635.714285714285,3209085.4285714286,78.85714285714286,35685.857142857145,0.002068381899081396,0.011120227809347566,Canada,0.19134768448508446
57,6036.714285714285,3252738.8571428573,64.85714285714286,36168.42857142857,0.0018553639406831035,0.011119379046752014,Canada,0.19207796546714215
